no,id,depth,num,content
1,1007-i-1,0,,기업회계기준서 제1007호 현금흐름표
2,,,,
3,1007-i-2,1,,목적
4,,,,
5,1007-i-3,2,,기업의 현금흐름정보는 재무제표이용자에게 현금및현금성자산의 창출능력과 현금흐름의 사용 용도를 평가하는 데 유용한 기초를 제공한다. 재무제표이용자는 경제적 의사결정을 하기 위하여 현금및현금성자산의 창출능력 및 현금흐름의 시기와 확실성을 평가해야 한다.
6,,,,
7,1007-i-4,2,,"이 기준서의 목적은 회계기간 동안 발생한 현금흐름을 영업활동, 투자활동 및 재무활동으로 분류하는 현금흐름표를 통하여 현금및현금성자산의 역사적 변동에 관한 정보를 제공하도록 요구하는 데 있다. "
8,,,,
9,,,,
10,1007-i-5,1,,적용
11,,,,
12,1007-c-한1.1,5,한1.1,이 기준서는 ‘주식회사 등의 외부감사에 관한 법률’에서 정하는 한국채택국제회계기준 의무적용대상 주식회사의 회계처리에 적용한다. 또한 이 기준서는 재무제표의 작성과 표시를 위해 한국채택국제회계기준의 적용을 선택하거나 다른 법령 등에서 적용을 요구하는 기업의 회계처리에도 적용한다.
13,,,,
14,,,,
15,1007-i-6,1,,적용범위
16,,,,
17,1007-c-1,5,1,"기업은 이 기준서의 요구사항에 따라 현금흐름표를 작성하여야 하며, 재무제표를 보고하는 각 회계기간에 재무제표의 일부로서 보고하여야 한다."
18,,,,
19,1007-c-2,5,2,[한국회계기준원 회계기준위원회가 삭제함]
20,,,,
21,1007-c-3,5,3,"재무제표이용자는 기업이 현금및현금성자산을 어떻게 창출하고 사용하는지에 대하여 관심이 있다. 이것은 기업활동의 성격에 관계없이, 그리고 금융회사의 경우와 같이 현금이 그 기업의 상품으로 간주될 수 있는지의 여부와 관계없이 모든 기업에 적용된다. 기업은 주요 수익창출활동이 서로 다르더라도 본질적으로 동일한 이유에서 현금을 필요로 한다. 기업은 영업활동을 수행하고, 채무를 상환하며, 투자자에게 투자수익을 분배하기 위하여 현금이 필요하다. 따라서 이 기준서는 모든 기업이 현금흐름표를 작성·공시할 것을 요구한다."
22,,,,
23,,,,
24,1007-i-7,1,,현금흐름정보의 효익
25,,,,
26,1007-c-4,5,4,"현금흐름표는 다른 재무제표와 같이 사용되는 경우 순자산의 변화, 재무구조(유동성과 지급능력 포함), 그리고 변화하는 상황과 기회에 적응하기 위하여 현금흐름의 금액과 시기를 조절하는 능력을 평가하는 데 유용한 정보를 제공한다. 현금흐름정보는 현금및현금성자산의 창출능력을 평가하는 데 유용할 뿐만 아니라, 서로 다른 기업의 미래현금흐름의 현재가치를 비교·평가하는 모형을 개발할 수 있도록 한다. 또한 현금흐름정보는 동일한 거래와 사건에 대하여 서로 다른 회계처리를 적용함에 따라 발생하는 영향을 제거하기 때문에 영업성과에 대한 기업 간의 비교가능성을 제고한다."
27,,,,
28,1007-c-5,5,5,"역사적 현금흐름정보는 미래현금흐름의 금액, 시기 및 확실성에 대한 지표로 자주 사용된다. 또한 과거에 추정한 미래현금흐름의 정확성을 검증하고, 수익성과 순현금흐름 간의 관계 및 물가 변동의 영향을 분석하는 데 유용하다."
29,,,,
30,,,,
31,1007-i-8,1,,용어의 정의
32,,,,
33,1007-c-6,5,6,이 기준서에서 사용하는 용어의 정의는 다음과 같다.  
34,,,,
35,,7,,현금: 보유 현금과 요구불예금
36,,,,
37,,7,,현금성자산: 유동성이 매우 높은 단기 투자자산으로서 확정된 금액의 현금으로 전환이 용이하고 가치변동의 위험이 경미한 자산
38,,,,
39,,7,,현금흐름: 현금및현금성자산의 유입과 유출
40,,,,
41,,7,,"영업활동: 기업의 주요 수익창출활동, 그리고 투자활동이나 재무활동이 아닌 기타의 활동"
42,,,,
43,,7,,투자활동: 장기성 자산 및 현금성자산에 속하지 않는 기타 투자자산의 취득과 처분
44,,,,
45,,7,,재무활동: 기업의 납입자본과 차입금의 크기 및 구성내용에 변동을 가져오는 활동
46,,,,
47,1007-i-9,1,,현금및현금성자산
48,,,,
49,1007-c-7,5,7,"현금성자산은 투자나 다른 목적이 아닌 단기의 현금수요를 충족하기 위한 목적으로 보유한다. 투자자산이 현금성자산으로 분류되기 위해서는 확정된 금액의 현금으로 전환이 용이하고, 가치변동의 위험이 경미해야 한다. 따라서 투자자산은 일반적으로 만기일이 단기에 도래하는 경우(예를 들어, 취득일로부터 만기일이 3개월 이내인 경우)에만 현금성자산으로 분류된다. 지분상품은 현금성자산에서 제외한다. 다만 상환일이 정해져 있고 취득일로부터 상환일까지의 기간이 단기인 우선주와 같이 실질적인 현금성자산인 경우에는 예외로 한다."
50,,,,
51,1007-c-8,5,8,은행 차입은 일반적으로 재무활동으로 간주된다. 그러나 일부 국가의 경우 금융회사의 요구에 따라 즉시 상환하여야 하는 당좌차월은 기업의 현금관리의 일부를 구성한다. 이 때 당좌차월은 현금및현금성자산의 구성요소에 포함된다. 그러한 은행거래약정이 있는 경우 은행잔고는 예금과 차월 사이에서 자주 변동하는 특성이 있다.
52,,,,
53,1007-c-9,5,9,"현금및현금성자산을 구성하는 항목 간 이동은 영업활동, 투자활동 및 재무활동의 일부가 아닌 현금관리의 일부이므로 이러한 항목 간의 변동은 현금흐름에서 제외한다. 현금관리는 잉여현금을 현금성자산에 투자하는 것을 포함한다."
54,,,,
55,,,,
56,1007-i-10,1,,현금흐름표의 표시
57,,,,
58,1007-c-10,5,10,"현금흐름표는 회계기간 동안 발생한 현금흐름을 영업활동, 투자활동 및 재무활동으로 분류하여 보고한다."
59,,,,
60,1007-c-11,5,11,"기업은 사업 특성을 고려하여 가장 적절한 방법으로 영업활동, 투자활동 및 재무활동에서 발생하는 현금흐름을 표시한다. 활동에 따른 분류는 이러한 활동이 기업의 재무상태와 현금및현금성자산의 금액에 미치는 영향을 재무제표이용자가 평가할 수 있도록 정보를 제공한다. 또한 이 정보는 각 활동 간의 관계를 평가하는 데 사용될 수 있다."
61,,,,
62,1007-c-12,5,12,"하나의 거래에는 서로 다른 활동으로 분류되는 현금흐름이 포함될 수 있다. 예를 들어 이자와 차입금을 함께 상환하는 경우, 이자지급은 영업활동으로 분류될 수 있고 원금상환은 재무활동으로 분류된다."
63,1007-i-11,2,,영업활동
64,,,,
65,1007-c-13,5,13,"영업활동에서 발생하는 현금흐름의 금액은 기업이 외부의 재무자원에 의존하지 않고 영업을 통하여 차입금 상환, 영업능력의 유지, 배당금 지급 및 신규투자 등에 필요한 현금흐름을 창출하는 정도에 대한 중요한 지표가 된다. 역사적 영업현금흐름의 특정 구성요소에 대한 정보를 다른 정보와 함께 사용하면, 미래 영업현금흐름을 예측하는 데 유용하다."
66,,,,
67,1007-c-14,5,14,영업활동 현금흐름은 주로 기업의 주요 수익창출활동에서 발생한다. 따라서 영업활동 현금흐름은 일반적으로 당기순손익의 결정에 영향을 미치는 거래나 그 밖의 사건의 결과로 발생한다. 영업활동 현금흐름의 예는 다음과 같다.
68,1007-c-,5,,⑴ 재화의 판매와 용역 제공에 따른 현금유입
69,1007-c-,5,,"⑵ 로열티, 수수료, 중개료 및 기타수익에 따른 현금유입"
70,1007-c-,5,,⑶재화와 용역의 구입에 따른 현금유출
71,1007-c-,5,,⑷종업원과 관련하여 직·간접으로 발생하는 현금유출
72,1007-c-,5,,"⑸보험회사의 경우 수입보험료, 보험금, 연금 및 기타 급부금과 관련된 현금유입과 현금유출"
73,1007-c-,5,,⑹법인세의 납부 또는 환급. 다만 재무활동과 투자활동에 명백히 관련되는 것은 제외한다.
74,1007-c-,5,,⑺단기매매목적으로 보유하는 계약에서 발생하는 현금유입과 현금유출
75,,,,
76,1007-c-,5,,설비 매각과 같은 일부 거래에서도 인식된 당기순손익의 결정에 포함되는 처분손익이 발생할 수 있다. 그러나 그러한 거래와 관련된 현금흐름은 투자활동 현금흐름이다. 그러나 기업회계기준서 제1016 문단 68A에서 기술된 것과 같이 타인에게 임대할 목적으로 보유하다가 후속적으로 판매목적으로 보유하는 자산을 제조하거나 취득하기 위한 현금 지급액은 영업활동 현금흐름이다. 이러한 자산의 임대 및 후속적인 판매로 수취하는 현금도 영업활동 현금흐름이다.
77,,,,
78,1007-c-15,5,15,"기업은 단기매매목적으로 유가증권이나 대출채권을 보유할 수 있으며, 이 때 유가증권이나 대출채권은 판매를 목적으로 취득한 재고자산과 유사하다. 따라서 단기매매목적으로 보유하는 유가증권의 취득과 판매에 따른 현금흐름은 영업활동으로 분류한다. 마찬가지로 금융회사의 현금 선지급이나 대출채권은 주요 수익창출활동과 관련되어 있으므로 일반적으로 영업활동으로 분류한다."
79,,,,
80,1007-i-12,2,,투자활동
81,,,,
82,1007-c-16,5,16,투자활동 현금흐름은 미래수익과 미래현금흐름을 창출할 자원의 확보를 위하여 지출된 정도를 나타내기 때문에 현금흐름을 별도로 구분 공시하는 것이 중요하다. 재무상태표에 자산으로 인식되는 지출만이 투자활동으로 분류하기에 적합하다. 투자활동 현금흐름의 예는 다음과 같다.
83,1007-c-,5,,"⑴ 유형자산, 무형자산 및 기타 장기성 자산의 취득에 따른 현금유출. 이 경우 현금유출에는 자본화된 개발원가와 자가건설 유형자산에 관련된 지출이 포함된다."
