no,id,depth,num,content
1,i0,0,,"제1장 목적, 구성 및 적용"
2,,,,
3,i1,1,,목적
4,,,,
5,,5,1.1,일반기업회계기준은 ‘주식회사 등의 외부감사에 관한 법률’의 적용대상기업 중 한국채택국제회계기준에 따라 회계처리하지 아니하는 기업의 회계와 감사인의 감사에 통일성과 객관성을 부여하기 위하여 동 기업의 회계처리 및 보고에 관한 기준을 정함을 목적으로 한다. 
6,,,,
7,i2,1,,구성
8,,,,
9,,5,1.2,"일반기업회계기준은 주제별로 별도의 장으로 구성되며, 각 장은 본문(적용보충기준 포함)과 부록(결론도출근거, 실무지침 및 적용사례)으로 구성된다. 일반기업회계기준의 적용 및 해석의 일관성을 위하여 필요한 경우에는 일반기업회계기준해석 등을 제정할 수 있다."
10,,,,
11,i3,1,,적용
12,,,,
13,,5,1.3,"일반기업회계기준은 ‘주식회사 등의 외부감사에 관한 법률’의 적용대상기업 중 한국채택국제회계기준에 따라 회계처리하지 아니하는 기업의 회계처리에 적용한다. 다만, 중요하지 않은 항목에 대해서는 이 기준을 적용하지 아니할 수 있다. 이 기준은 ‘주식회사의 외부감사에 관한 법률’의 적용대상이 아닌 기업의 회계처리에 준용할 수 있다."
14,,,,
15,,5,1.4,"일반기업회계기준의 각 문단은 각 장의 목적, 기업회계기준 전문, 결론도출근거, 실무지침, 적용사례 및 재무회계개념체계를 배경으로 이해하여야 한다."
